productId,ourSku,miProductId,ourTitle,miSku,miTitle,published,slug
69b442fcc23d34935c3b6e98,302CU04,6,UNIVERSAL,302CU04OR,Плоча  180 mm 1800W за ключ 6+0,true,universal-145
69b43d86c23d34935c3acb5e,302CU22,20,Плоча 180/120 мм. 1700/700W,302CU22OR,Плоча 180/120 мм. 1700/700W,true,ego-180-120d0bcd0bc
69b43eb4c23d34935c3aefa8,210FR23,1529,Бутон за хладилник,210FR23OR,Бутон за хладилник,true,beko-51
69b43e7fc23d34935c3ae94f,811PE350,2195,Клапан за кафемашина,811PE350OR,Клапан за кафемашина,true,delonghi-10
69b43f1dc23d34935c3afc36,210FR01,2394,Бутон за хладилник,210FR01OR,Бутон за хладилник,true,d0b1d183d182d0bed0bd-3
69b441adc23d34935c3b4ab0,167GR02,4065,Амортисьор -159737,167GR02OR,Амортисьор за пералня,true,gorenje-228
69b4436cc23d34935c3b7b98,133AC02,5230,Пружина миялна - 1880880100 - 1743980100,133AC02OR,Пружина за съдомиялна BEKO,true,beko-sang-blomberg-167
69b43ef6c23d34935c3af78e,301GR03,5254,Клеморед за готварски печки Горение,301GR03OR,Клеморед за готварски печки Горение,true,gorenje-106
69b4401ec23d34935c3b1b3b,326CU11,6099,Ремък за хлебопекарна 420 мм,326CU11OR,Ремък за хлебопекарна 420 мм,true,d180d0b5d0bcd18ad0ba-d0b7d0b0-d185d0bbd0b5d0b1d0bed0bfd0b5d0bad0b0d180d0bdd0b0-420mm
69b44035c23d34935c3b1de9,166ZN02,6275,Ролка за сушилня,166ZN02OR,Ролка за сушилня,true,electrolux-zanussi-aeg-273
69b44057c23d34935c3b2210,308MC01,6417,"Уплътнител  фурна AMICA, HANSA 325 x 415 mm",308MC01OR,"Уплътнител  фурна AMICA, HANSA 325 x 415 mm",true,amica-23
69b440a8c23d34935c3b2ba8,800PE118,6647,Четка под за прахосмукачки Zelmer,800PE118OR,Четка под за прахосмукачки Zelmer,true,zelmer-20
69b44135c23d34935c3b3c79,308CU80,7183,уплътнител за керамичен плот 3 м - 288509,308CU80OR,Уплътнител за керамичен плот 3 м,true,d183d0bfd0bbd18ad0bdd0b8d182d0b5d0bb-2
69b4415ec23d34935c3b4152,116LG651,7440,Ремък за сушилня  2010 H7,116LG651OR,Ремък за сушилня  2010 H7,true,2010-h7
69b4416ec23d34935c3b432e,308AC11,7518,Уплътнител за фурна с обратни куки 33х43.5,308AC11OR,Уплътнител за фурна с обратни куки 33х43.5,true,beko-sang-blomberg-14
69b44185c23d34935c3b45fe,200AC05,7635,Дръжка за хладилник  295 мм,200AC05OR,Дръжка за хладилник  295 мм,true,beko-sang-blomberg-39
69b4425fc23d34935c3b5d2c,143AC08,8610,филтър сушилня  - 2964840200,143AC08OR,Филтър сушилня BEKO,true,beko-sang-blomberg-102
69b4429ec23d34935c3b6448,312AC16,8786,Горен нагревател за фурна 800+800 W,312AC16OR,Горен нагревател за фурна 800+800 W,true,beko-sang-blomberg-106
69b442c8c23d34935c3b68bd,162AC26,8877,Помпа съдомиялна ATLANTIS с нагревател,162AC26OR,Помпа съдомиялна ATLANTIS с нагревател,true,beko-sang-blomberg-128
69b442bdc23d34935c3b67b8,119AC05,8901,гумено съединение - 2846690100,119AC05OR,Горен гофриран маркуч за перални BEKO,true,beko-sang-blomberg-120
69b44387c23d34935c3b7ec1,168SU18,9672,Болт - DC60-40137A,168SU18OR,Болт за носач на пералня,true,d0b1d0bed0bbd182
69b44392c23d34935c3b8014,165GR06,9704,Ремъчна шайба за пералня,165GR06OR,Ремъчна шайба за пералня,true,gorenje-159
69b4439dc23d34935c3b814f,148ZN40,9749,Ключалка за съдомиялна ELECTROLUX,148ZN40OR,Ключалка за съдомиялна ELECTROLUX,true,electrolux-zanussi-aeg-502
69b443b6c23d34935c3b840d,145GR10,9834,Външен ринг за пералня GORENJE,145GR10OR,Външен ринг за пералня GORENJE,true,gorenje-235
69b443ecc23d34935c3b8a0c,116LG505,10077,Ремък за сушилня 1971 H7,116LG505OR,Ремък за сушилня 1971 H7,true,1971-h7-orig
69b44407c23d34935c3b8cb9,120AC13,10247,Долен гофриран маркуч,120AC13OR,Долен гофриран маркуч,true,beko-sang-blomberg-203
69b4440fc23d34935c3b8d7f,202AC01,10270,краче за хладилник - BEKO - 4528210100,202AC01OR,Краче за хладилник,true,beko-sang-blomberg-218
69b4443ac23d34935c3b9207,138GR03,10417,Турбина за сушилня GORENJE,138GR03OR,Турбина за сушилня GORENJE,true,gorenje-243
69b445d6c23d34935c3bbdec,500FC149,4011604,"Алуминиев филтър  456,5 x 185 мм",500FC149OR,"Алуминиев филтър  456,5 x 185 мм",true,d0b0d0bbd183d0bcd0b8d0bdd0b8d0b5d0b2-d184d0b8d0bbd182d18ad180-39
69b445fcc23d34935c3bc218,159AC11,6012591,Нагревател пералня/ сушилня к-т,159AC11OR,Нагревател пералня/ сушилня к-т,true,beko-sang-blomberg-338
69b44530c23d34935c3bab76,302CU05,6016561,плоча 180/120 мм - 1700/700W - EGO 10.58211.004,302CU05OR,Плоча 180/120 мм 1700/700W,true,indesit-ariston-282
69b446aac23d34935c3bd587,138AC03,6016777,Турбина за вент.сушилня - 2977500200,138AC03OR,Турбина за вентилатор сушилня,true,beko-blomberg-34
69ff0b3358138c72b910c269,163AC18,6017566,Помпа за пералня,163AC18OR,Помпа за пералня,true,163ac18-------2---1421000200
69b447eac23d34935c3bf767,166IG02,6017730,Ролка за сушилня WHIRLPOOL,166IG02OR,Ролка за сушилня WHIRLPOOL,true,whirlpool-indesit-ariston-12
69b44855c23d34935c3c02aa,150GR10,6018076,Температурен сензор за фурна,150GR10OR,Температурен сензор за фурна,true,64941
69b447a3c23d34935c3befc6,312GR32,6018580,Долен нагревател за фурна1100W,312GR32OR,Долен нагревател за фурна1100W,true,gorenje-280
69b44881c23d34935c3c0742,163BH07,7020595,Помпа пералня BOSCH,163BH07OR,Помпа пералня BOSCH,true,bosch-siemens-neff-57
69ff0bf058138c72b910c317,167GR10,9020561,Амортисьор 100N,167GR10OR,Амортисьор 100N,true,167gr10----100n---341221
69fa0344b6016830e5a48cb5,120SU06,11020723,гумено съединение DC97-20750A - DC67-00551A,120SU06OR,Гофриран маркуч долен,true,120su06-----dc97-20750a---dc67-00551a
