"changedFields","ibisProductId","ibisSourceId","newPublished","newSourcePrice","newStockQty","newStockStatus","nikProductId","nikSourceId","oldPublished","oldSourcePrice","oldStockQty","oldStockStatus","sku"
"stockQty","69e9ebeb2eeb571971d529a3","84497","true","15.34","3","instock","69b43c88c23d34935c3aace5","293","true","15.34","4","instock","117AC00"
"stockQty","69e9ebea2eeb571971d52993","84493","true","15.34","5","instock","69b43c89c23d34935c3aacf7","303","true","15.34","7","instock","117AE04"
"stockQty","69e9ebea2eeb571971d52983","84489","true","13.29","3","instock","69b43c89c23d34935c3aad09","307","true","13.29","2","instock","117AE07"
"sourcePrice|stockQty","69e9ebe92eeb571971d5297b","84487","true","16.36","3","instock","69b43c89c23d34935c3aad12","315","true","0","1","instock","117AE11"
"stockQty","69e9ebe92eeb571971d52973","84485","true","12.78","5","instock","69b43c8ac23d34935c3aad1b","317","true","12.78","4","instock","117AK00"
"stockQty","69e9ebe82eeb571971d52963","84481","true","12.78","6","instock","69b43c8ac23d34935c3aad2d","321","true","12.78","9","instock","117AK02"
"stockQty","69e9ebe82eeb571971d5295b","84479","true","17.38","4","instock","69b43c8bc23d34935c3aad36","323","true","17.38","12","instock","117AK04"
"stockQty","69e9ebe72eeb571971d5294b","84475","true","14.32","5","instock","69b43c8bc23d34935c3aad48","335","true","14.32","3","instock","117AR04"
"stockQty","69e9ebe72eeb571971d52943","84473","true","23.52","1","instock","69b43c8bc23d34935c3aad51","337","true","23.52","3","instock","117AR05"
"stockQty|stockStatus","69e9ebe72eeb571971d5293b","84471","true","14.32","2","instock","69b43c8cc23d34935c3aad5a","341","true","14.32","0","outofstock","117AR07"
"stockQty","69e9ebe62eeb571971d52933","84469","true","24.54","1","instock","69b43c8cc23d34935c3aad63","345","true","24.54","3","instock","117AR10"
"stockQty","69e9ebe52eeb571971d52923","84464","true","19.43","7","instock","69b43c8dc23d34935c3aad75","349","true","19.43","8","instock","117AR12"
"sourcePrice|stockQty|stockStatus|published","69e9ebe52eeb571971d5291b","84462","true","14.32","0","outofstock","69b43c8dc23d34935c3aad7e","351","false","0","2","instock","117BA00"
"sourcePrice|stockQty|stockStatus|published","69e9ebe52eeb571971d52913","84460","true","24.54","0","outofstock","69b43c8dc23d34935c3aad87","353","false","0","1","instock","117BA01"
"sourcePrice|stockQty|stockStatus|published","69e9ebe42eeb571971d5290b","84458","true","24.54","1","instock","69b43c8ec23d34935c3aad90","357","false","0","0","outofstock","117BL01"
"stockQty","69e9ebe42eeb571971d528fb","84454","true","17.38","1","instock","69b43c8ec23d34935c3aada2","363","true","17.38","2","instock","117BL04"
"stockQty","69e9ebe32eeb571971d528f3","84452","true","16.36","2","instock","69b43c8ec23d34935c3aadab","365","true","16.36","3","instock","117BY00"
"stockQty","69e9ebe32eeb571971d528e3","84448","true","11.25","2","instock","69b43c8fc23d34935c3aadbd","371","true","11.25","1","instock","117BY05"
"stockQty","69e9ebe22eeb571971d528db","84446","true","18.41","4","instock","69b43c8fc23d34935c3aadc6","373","true","18.41","3","instock","117BY06"
"stockQty","69e9ebe22eeb571971d528d3","84444","true","21.47","6","instock","69b43c90c23d34935c3aadcf","375","true","21.47","3","instock","117CY27"
"stockQty","69e9ebe22eeb571971d528cb","84442","true","13.29","4","instock","69b43c90c23d34935c3aadd8","383","true","13.29","5","instock","117CY02"
"sourcePrice","69e9ebe12eeb571971d528c3","84440","true","17.38","1","instock","69b43c90c23d34935c3aade1","387","true","0","1","instock","117CY04"
"stockQty","69e9ebe12eeb571971d528ba","84438","true","17.38","5","instock","69b43c90c23d34935c3aadea","399","true","17.38","3","instock","117CY12"
"sourcePrice|stockQty","69e9ebe02eeb571971d528a8","84434","true","19.43","1","instock","69b43c91c23d34935c3aadfc","403","true","0","2","instock","117CY15"
"stockQty","69e9ebdf2eeb571971d52898","84430","true","23.52","8","instock","69b43c92c23d34935c3aae0e","409","true","23.52","2","instock","117CY18"
"sourcePrice|stockQty","69e9ebdf2eeb571971d52887","84426","true","15.34","5","instock","69b43c92c23d34935c3aae20","415","true","0","3","instock","117CY22"
"stockQty","69e9ebde2eeb571971d52876","84422","true","16.36","10","instock","69b43c93c23d34935c3aae32","425","true","16.36","7","instock","117CY28"
"sourcePrice|stockQty","69e9ebdd2eeb571971d5286d","84420","true","16.5","5","instock","69b43c93c23d34935c3aae3b","431","true","18.98","2","instock","117FA02"
"sourcePrice|stockQty","69e9ebdd2eeb571971d52865","84418","true","14.32","4","instock","69b43c94c23d34935c3aae4d","435","true","0","2","instock","117FA03"
"sourcePrice","69e9ebdc2eeb571971d52845","84410","true","15.34","2","instock","69b43c95c23d34935c3aae68","445","true","0","2","instock","117HP01"
"stockQty","69e9ebdb2eeb571971d5283d","84408","true","14.32","2","instock","69b43c95c23d34935c3aae71","449","true","14.32","1","instock","117HP03"
"sourcePrice","69e9ebdb2eeb571971d52835","84406","true","11.25","3","instock","69b43c95c23d34935c3aae7a","453","true","0","3","instock","117HP06"
"stockQty","69e9ebdb2eeb571971d5282d","84404","true","10.23","4","instock","69b43c95c23d34935c3aae83","463","true","10.23","7","instock","117ID02"
"stockQty","69e9ebda2eeb571971d52825","84402","true","12.78","8","instock","69b43c96c23d34935c3aae8c","465","true","12.78","2","instock","117ID03"
"stockQty","69e9ebda2eeb571971d5281d","84400","true","14.32","7","instock","69b43c96c23d34935c3aae95","467","true","14.32","19","instock","117ID04"
"stockQty","69e9ebda2eeb571971d52815","84398","true","32.72","6","instock","69b43c96c23d34935c3aae9e","469","true","32.72","4","instock","117ID05"
"stockQty","69e9ebd92eeb571971d5280d","84396","true","14.32","10","instock","69b43c97c23d34935c3aaea7","471","true","14.32","9","instock","117ID06"
"stockQty","69e9ebd92eeb571971d52805","84394","true","16.36","1","instock","69b43c97c23d34935c3aaeb0","473","true","16.36","7","instock","117ID07"
"stockQty","69e9ebd92eeb571971d527fd","84392","true","17.9","5","instock","69b43c97c23d34935c3aaeb9","475","true","17.9","4","instock","117ID08"
"stockQty","69e9ebd82eeb571971d527f5","84390","true","12.27","12","instock","69b43c98c23d34935c3aaec2","477","true","12.27","10","instock","117IG04"
"sourcePrice|stockQty|stockStatus","69e9ebd82eeb571971d527ec","84388","true","21.47","0","outofstock","69b43c98c23d34935c3aaecb","479","true","0","1","instock","117MI01"
"sourcePrice|stockQty|stockStatus","69e9ebd72eeb571971d527da","84384","true","16.5","0","outofstock","69b43c98c23d34935c3aaedd","489","true","18.98","17","instock","117MI08"
"stockQty","69e9ebd62eeb571971d527c9","84380","true","19.43","7","instock","69b43c99c23d34935c3aaeef","495","true","19.43","6","instock","117PH02"
"stockQty","69e9ebd62eeb571971d527c1","84378","true","10.23","6","instock","69b43c99c23d34935c3aaef8","497","true","10.23","5","instock","117PH03"
"stockQty","69e9ebd52eeb571971d527b9","84376","true","14.32","4","instock","69b43c9ac23d34935c3aaf01","501","true","14.32","2","instock","117PH06"
"sourcePrice|stockQty","69e9ebd52eeb571971d527b1","84374","true","10.23","2","instock","69b43c9ac23d34935c3aaf0a","503","true","0","1","instock","117PH07"
"stockQty","69e9ebd52eeb571971d527a9","84372","true","16.36","6","instock","69b43c9ac23d34935c3aaf13","509","true","16.36","5","instock","117PH11"
"stockQty","69e9ebd42eeb571971d52799","84368","true","16.36","4","instock","69b43c9bc23d34935c3aaf25","513","true","16.36","3","instock","117SG03"
"stockQty","69e9ebd42eeb571971d52790","84366","true","13.29","4","instock","69b43c9bc23d34935c3aaf2e","517","true","13.29","5","instock","117SG06"
"stockQty","69e9ebd32eeb571971d52788","84364","true","13.29","6","instock","69b43c9bc23d34935c3aaf37","519","true","13.29","9","instock","117SG07"
"stockQty","69e9ebd32eeb571971d52780","84362","true","19.43","3","instock","69b43c9cc23d34935c3aaf40","521","true","19.43","2","instock","117SG08"
"stockQty","69e9ebd22eeb571971d52770","84358","true","26.59","4","instock","69b43c9cc23d34935c3aaf52","525","true","26.59","2","instock","117SG10"
"sourcePrice|stockQty","69e9ebd22eeb571971d52768","84356","true","15.34","6","instock","69b43c9dc23d34935c3aaf5b","527","true","18.41","5","instock","117SI00"
"stockQty","69e9ebd22eeb571971d52760","84354","true","15.34","3","instock","69b43c9dc23d34935c3aaf64","529","true","15.34","8","instock","117SI01"
"sourcePrice|stockQty|stockStatus","69e9ebd12eeb571971d52758","84352","true","19.43","4","instock","69b43c9dc23d34935c3aaf6d","531","true","15.34","0","outofstock","117SI02"
"sourcePrice|stockQty","69e9ebd12eeb571971d52750","84350","true","13.5","7","instock","69b43c9dc23d34935c3aaf76","535","true","15.53","20","instock","117BY12"
"stockQty","69e9ebd02eeb571971d52748","84348","true","17.38","3","instock","69b43c9ec23d34935c3aaf7f","537","true","17.38","4","instock","117SI05"
"stockQty","69e9ebcf2eeb571971d5272f","84342","true","16.36","10","instock","69b43c9fc23d34935c3aaf9a","549","true","16.36","11","instock","117SL07"
"stockQty","69e9ebcf2eeb571971d52727","84340","true","18.41","1","instock","69b43c9fc23d34935c3aafa3","551","true","18.41","2","instock","117SL08"
"stockQty","69e9ebce2eeb571971d52717","84336","true","19.43","6","instock","69b43c9fc23d34935c3aafb5","557","true","19.43","5","instock","117SM01"
"sourcePrice","69e9ebce2eeb571971d52707","84332","true","14.32","1","instock","69b43ca0c23d34935c3aafc7","561","true","0","1","instock","117TB00"
"sourcePrice","69e9ebcd2eeb571971d526ff","84330","true","19.43","1","instock","69b43ca0c23d34935c3aafd0","567","true","0","1","instock","117TB04"
"sourcePrice","69e9ebcd2eeb571971d526f7","84328","true","24.54","1","instock","69b43ca1c23d34935c3aafd9","571","true","0","1","instock","117TB06"
"stockQty","69e9ebcd2eeb571971d526ef","84326","true","16.36","3","instock","69b43ca1c23d34935c3aafe2","573","true","16.36","6","instock","117ZN02"
"stockQty","69e9ebcc2eeb571971d526e7","84324","true","14.32","2","instock","69b43ca1c23d34935c3aafeb","575","true","14.32","3","instock","117ZN04"
"stockQty","69e9ebcc2eeb571971d526df","84322","true","14.32","3","instock","69b43ca2c23d34935c3aaff4","577","true","14.32","2","instock","117ZN08"
"sourcePrice|published","69e9ebcb2eeb571971d526c7","84316","true","36.81","0","outofstock","69b43ca2c23d34935c3ab00f","587","false","0","0","outofstock","117ZN13"
"stockQty","69e9ebca2eeb571971d526b7","84312","true","29.65","3","instock","69b43ca3c23d34935c3ab021","591","true","29.65","2","instock","117ZN15"
"stockQty","69e9ebca2eeb571971d526af","84310","true","21.47","4","instock","69b43ca3c23d34935c3ab02a","595","true","21.47","3","instock","117ZN17"
"stockQty|stockStatus","69e9ebc92eeb571971d526a7","84308","true","11.25","2","instock","69b43ca4c23d34935c3ab033","597","true","11.25","0","outofstock","117ZW00"
"stockQty","69e9ebc92eeb571971d5269f","84306","true","13.29","3","instock","69b43ca4c23d34935c3ab03c","599","true","13.29","2","instock","117ZW01"
"sourcePrice|published","69e9ebc92eeb571971d52697","84304","true","19.43","0","outofstock","69b43ca4c23d34935c3ab045","601","false","0","0","outofstock","117ZW02"
"sourcePrice|published","69e9ebc82eeb571971d5268f","84302","true","16.36","0","outofstock","69b43ca4c23d34935c3ab04e","609","false","0","0","outofstock","117ZW07"
"stockQty","69e9ebc82eeb571971d52687","84300","true","24.54","1","instock","69b43ca5c23d34935c3ab057","623","true","24.54","2","instock","117ZW14"
"stockQty","69e9ebc82eeb571971d5267f","84298","true","15.34","8","instock","69b43ca5c23d34935c3ab060","631","true","15.34","4","instock","117SL06"
"sourcePrice","69e9ebc72eeb571971d52677","84296","true","19.43","0","outofstock","69b43ca5c23d34935c3ab069","635","true","0","0","outofstock","163AC04"
"sourcePrice|published","69e9f30d2eeb571971d5cdb7","95430","true","16.36","0","outofstock","69b43ca6c23d34935c3ab07b","649","false","0","0","outofstock","163AE06"
"sourcePrice|stockQty|stockStatus|published","69e9ebc72eeb571971d5266f","84293","true","34.77","0","outofstock","69b43ca6c23d34935c3ab084","651","false","0","3","instock","163AE07"
"sourcePrice|stockQty","69e9ebc72eeb571971d52667","84291","true","26.5","3","instock","69b43ca7c23d34935c3ab08d","655","true","21.47","2","instock","163AE14"
"stockQty","69e9ebc62eeb571971d52657","84287","true","15.08","5","instock","69b43ca7c23d34935c3ab09f","671","true","15.08","3","instock","163SI15"
"sourcePrice|published","69e9ebc52eeb571971d5264f","84285","true","21.47","0","outofstock","69b43ca7c23d34935c3ab0a8","673","false","0","0","outofstock","163BH02"
"stockQty","69e9ebc52eeb571971d52647","84283","true","18.41","9","instock","69b43ca8c23d34935c3ab0b1","675","true","18.41","5","instock","163BH14"
"stockQty","69e9f30d2eeb571971d5cdaf","95428","true","19.43","6","instock","69b43ca8c23d34935c3ab0ba","683","true","19.43","5","instock","163BH09"
"sourcePrice|stockQty","69e9f30c2eeb571971d5cda7","95426","true","19.5","9","instock","69b43ca8c23d34935c3ab0c3","685","true","22.43","6","instock","163BH10"
"stockQty","69e9ebc42eeb571971d52637","84279","true","23.52","1","instock","69b43ca9c23d34935c3ab0d5","703","true","23.52","2","instock","163AR05"
"stockQty|stockStatus","69e9ebc32eeb571971d5260c","84274","true","16.36","0","outofstock","69b43caac23d34935c3ab0e7","717","true","16.36","5","instock","163AR14"
"sourcePrice|stockQty","69e9ebc22eeb571971d52604","84271","true","14.32","3","instock","69b43caac23d34935c3ab0f0","729","true","16.47","6","instock","163AK09"
"stockQty","69e9ebc22eeb571971d525fb","84268","true","17.38","1","instock","69b43caac23d34935c3ab0f9","737","true","17.38","5","instock","163AK12"
"sourcePrice|published","69e9ebc12eeb571971d525f3","84266","true","29.65","0","outofstock","69b43caac23d34935c3ab102","741","false","0","0","outofstock","163CY01"
"stockQty","69e9ebc12eeb571971d525eb","84264","true","14.32","3","instock","69b43cabc23d34935c3ab10b","743","true","14.32","5","instock","163CY38"
"sourcePrice|stockQty|published","69e9ebc12eeb571971d525e3","84261","true","17.38","1","instock","69b43cabc23d34935c3ab114","753","false","0","2","instock","163CY22"
"sourcePrice|stockQty","69e9ebc02eeb571971d525d3","84256","true","16.36","8","instock","69b43cacc23d34935c3ab126","765","true","17.38","4","instock","163CY37"
"stockQty","69e9ebc02eeb571971d525cb","84253","true","18.41","4","instock","69b43cacc23d34935c3ab12f","775","true","18.41","3","instock","163BY09"
"stockQty","69e9ebbf2eeb571971d525c3","84251","true","19.43","4","instock","69b43cacc23d34935c3ab138","777","true","19.43","3","instock","163FA01"
"stockQty","69e9ebbf2eeb571971d525bb","84249","true","19.43","7","instock","69b43cacc23d34935c3ab141","781","true","19.43","8","instock","163FA04"
"sourcePrice|stockQty|stockStatus|published","69e9ebbf2eeb571971d525b3","84247","true","19.68","1","instock","69b43cadc23d34935c3ab14a","783","false","0","0","outofstock","163FA09"
"sourcePrice|published","69e9ebbe2eeb571971d525ab","84245","true","34.77","0","outofstock","69b43cadc23d34935c3ab153","787","false","0","0","outofstock","163GR01"
"stockQty","69e9f30c2eeb571971d5cd9f","95424","true","16.36","17","instock","69b43cadc23d34935c3ab15c","797","true","16.36","18","instock","163ZN52"
"stockQty","69e9f30b2eeb571971d5cd96","95422","true","10.23","1","instock","69b43caec23d34935c3ab165","813","true","10.23","3","instock","312RA02"
"stockQty|stockStatus","69e9f30b2eeb571971d5cd8e","95420","true","3.58","0","outofstock","69b43caec23d34935c3ab16e","815","true","3.58","24","instock","312CU198"
"sourcePrice","69e9f30b2eeb571971d5cd86","95418","true","13.5","17","instock","69b43caec23d34935c3ab177","817","true","12.27","17","instock","111ED07"
"stockQty","69e9f30a2eeb571971d5cd7e","95416","true","14.32","2","instock","69b43cafc23d34935c3ab180","819","true","14.32","1","instock","111ED03"
"sourcePrice|stockQty","69e9f30a2eeb571971d5cd75","95414","true","14.5","12","instock","69b43cafc23d34935c3ab189","821","true","13.29","3","instock","111ED02"
"sourcePrice|stockQty","69e9f3092eeb571971d5cd65","95410","true","19.43","16","instock","69b43cafc23d34935c3ab19b","825","true","21.47","26","instock","111ED04"
"stockQty","69e9f3092eeb571971d5cd5d","95408","true","15.34","17","instock","69b43cb0c23d34935c3ab1a4","827","true","15.34","19","instock","302CU61"
"sourcePrice|stockQty","69e9f3092eeb571971d5cd55","95406","true","19.4","2","instock","69b43cb0c23d34935c3ab1ad","829","true","22.31","10","instock","302CU65"
"sourcePrice|published","69e9ebbe2eeb571971d525a3","84243","true","14.32","1","instock","69b43cb0c23d34935c3ab1b6","841","false","0","1","instock","163IG20"
"sourcePrice|stockQty|published","69e9ebbe2eeb571971d5259b","84241","true","16.36","2","instock","69b43cb1c23d34935c3ab1bf","859","false","0","4","instock","163IG24"
"stockQty","69e9ebbd2eeb571971d52593","84239","true","34.77","2","instock","69b43cb1c23d34935c3ab1c8","861","true","34.77","4","instock","163IG27"
"sourcePrice|published","69e9ebbd2eeb571971d52583","84235","true","14.32","0","outofstock","69b43cb1c23d34935c3ab1da","867","false","0","0","outofstock","163ID05"
"sourcePrice|stockQty|published","69e9e7052eeb571971d4b8e0","64918","true","29.65","0","outofstock","69b43cb2c23d34935c3ab1e3","869","false","0","-3","outofstock","163ID06"
"stockQty","69e9ebbc2eeb571971d52573","84231","true","14.32","5","instock","69b43cb2c23d34935c3ab1f5","895","true","14.32","11","instock","163LG45"
"sourcePrice|published","69e9ebbc2eeb571971d5256b","84229","true","13.29","0","outofstock","69b43cb3c23d34935c3ab1fe","897","false","0","0","outofstock","163LG46"
