"sku","type","url","title","published","stockQty"
"103AC08OR","original","http://localhost:3000/product/beko-sang-blomberg-403","BEKO SANG BLOMBERG","true","4"
"103BH04OR","original","http://localhost:3000/product/bosch-siemens-80","BOSCH SIEMENS","true","10"
"103GR02OR","original","http://localhost:3000/product/---gorenje","Маркуч за съдомиялна GORENJE","true","1"
"103LG75OR","original","http://localhost:3000/product/whirlpool-indesit-ariston","103LG75OR- Изхвърлящ маркуч съдомиялна - 481253029113 - C00311031","true","8"
"103SM02OR","original","http://localhost:3000/product/103sm02or","Маркуч за съдомиялна SMEG","true","9"
"103ZN01OR","original","http://localhost:3000/product/electrolux-zanussi-aeg-732","ELECTROLUX ZANUSSI AEG","false","9"
"103ZN06OR","original","http://localhost:3000/product/electrolux-zanussi-aeg-687","ELECTROLUX ZANUSSI AEG","true","4"
"103ZN08OR","original","http://localhost:3000/product/103zn08or","Маркуч за източване на вода за сушилня 2.5 м Ф8 мм","true","3"
"107AC02OR","original","http://localhost:3000/product/beko-blomberg-33","BEKO BLOMBERG","true","6"
"110TY19OR","original","http://localhost:3000/product/d182d0b5d181d0b8-16","ТЕСИ","true","0"
"113AR07OR","original","http://localhost:3000/product/113ar07or","Семеринг 22х40х8.5  G2","true","19"
"113AR08OR","original","http://localhost:3000/product/113ar08or","Семеринг 35х52/65х7/10.5","true","51"
"113AR09OR","original","http://localhost:3000/product/25-x-47-64-x-7-10","25 x 47/64 x 7/10","true","15"
"113AR10OR","original","http://localhost:3000/product/113ar10or","Семеринг 35х62/75х7/10","true","9"
"113AR12OR","original","http://localhost:3000/product/113ar12or","Семеринг 30x52/65x7/10","true","10"
"113BH07OR","original","http://localhost:3000/product/113bh07or","Уплътнител съдомиялна  Ф 163 мм - 00171598","true","0"
"113EG04OR","original","http://localhost:3000/product/113eg04or","Семеринг 37x66x9.5/12","true","19"
"113EG06OR","original","http://localhost:3000/product/37-x-76-x-95-12-3","семеринг 37х76х9.5/12 - 4036ER2004A","true","28"
"113GR10OR","original","http://localhost:3000/product/hisense-gorenje-5","Семеринг 45x80x11.5/13","true","2"
"113ZN02OR","original","http://localhost:3000/product/402-x-72-x-10-135-2","40,2 x 72 x 10/13,5","true","29"
"113ZN25OR","original","http://localhost:3000/product/113zn25or","семеринг 47x80x11/12.5 - 1327445600 - ROLF","true","26"
"116LG114OR","original","http://localhost:3000/product/1972-h7-2","1972 H7","true","10"
"116LG167OR","original","http://localhost:3000/product/1975-h6","Ремък за сушилня 1975 Н6","true","17"
"116LG309OR","original","http://localhost:3000/product/1965-d0bd7","Ремък1965 H7","true","5"
"116LG314OR","original","http://localhost:3000/product/1965-h6-2","1965 H6","true","0"
"116LG318OR","original","http://localhost:3000/product/1196-5pje-2","1196 5PJE","true","6"
"116LG404OR","original","http://localhost:3000/product/---1991-6phe","Ремък за сушилня 1991 6PHE","true","13"
"116LG406OR","original","http://localhost:3000/product/1227-6phe-2","1227 6PHE","true","1"
"116LG461OR","original","http://localhost:3000/product/1995-h7","ремък 1995 H7 - BOSCH 650499","true","6"
"116LG505OR","original","http://localhost:3000/product/1971-h7-orig","Ремък за сушилня 1971 H7","true","1"
"116LG651OR","original","http://localhost:3000/product/2010-h7","Ремък за сушилня  2010 H7","true","16"
"116LG658OR","original","http://localhost:3000/product/116lg658or","Ремък за сушилня 1540 5 PHE","true","4"
