sku,dbId,dbSourceId,dbPublished,dbTitle,dbImagesCount,dbLegacyUrl,legacySourceId,legacyPublished,legacyTitle,legacyImagesCount,legacyUrl,suggestedCheck
117AC03,69ff0b3158138c72b910c241,,true,маншон 2804860100/200/300,0,,3479,true,BEKO,1,http://nikelectric.com/produkt/beko-21/,probably update existing product by SKU
601MD10OR,6a4514d09c3767f83b80a50e,,true,Чиния за микровълнова фурна  274мм /225мм,0,,9691,true,ЧИНИЯ 274мм,1,http://nikelectric.com/produkt/%d1%87%d0%b8%d0%bd%d0%b8%d1%8f-274%d0%bc%d0%bc/,probably update existing product by SKU
145GR05OR,6a4506c39c3767f83b809fcc,,true,Външен ринг за пералня GORENJE,0,,10305,true,GORENJE,1,http://nikelectric.com/produkt/gorenje-184/,probably update existing product by SKU
308AC08OR,6a4263c57a812b8ec7f36357,,true,Уплътнител за фурна BEKO с обратни куки 32х45,0,,11404,true,BEKO,2,http://nikelectric.com/produkt/beko-127/,probably update existing product by SKU
167IG14,69ff0b3258138c72b910c251,,true,Амортисьор за пералня 120N,0,,12977,true,WHIRLPOOL IGNIS PHILIPS,1,http://nikelectric.com/produkt/whirlpool-ignis-philips-182/,probably update existing product by SKU
143AC07OR,6a3a7ab663ce2a8468e12ce2,,true,Филтър сушилня,0,,13239,true,BEKO SANG BLOMBERG,1,http://nikelectric.com/produkt/beko-sang-blomberg-61/,probably update existing product by SKU
147AC05OR,6a3a508a63ce2a8468e11a52,,true,Микроключ 3 дълги изводи,0,,13252,true,BEKO SANG BLOMBERG,1,http://nikelectric.com/produkt/beko-sang-blomberg-68/,probably update existing product by SKU
811PE399OR,6a469318068fc300483edd40,,true,Инфузер за кафеавтомат,0,,13377,true,DELONGHI,2,http://nikelectric.com/produkt/delonghi-65/,probably update existing product by SKU
308AC13OR,6a3a427663ce2a8468e11153,,true,Уплътнител за плот 2x8x2250 mm,0,,14130,true,UNIVERSAL,1,https://nikelectric.com/?post_type=product&#038;p=14130,probably update existing product by SKU
167AR03OR,6a39b60c63ce2a8468e0d6a1,,true,Амортисьори за пералня 100N,0,,27694,true,INDESIT ARISTON,1,https://nikelectric.com/?post_type=product&#038;p=27694,probably update existing product by SKU
167BH07,69ff0b3358138c72b910c261,,true,167BH07 - Амортисьор 90N - Ф8 /13.2 - 3 бр. - 00673541-00660865,0,,34452,true,BOSCH SIEMENS BALAY,1,https://nikelectric.com/?post_type=product&#038;p=34452,probably update existing product by SKU
813PE215,69ff0b3158138c72b910c239,,true,упл.за бойлер Бриел,0,,67493,true,BRIEL,2,https://nikelectric.com/?post_type=product&#038;p=67493,probably update existing product by SKU
811PE208,69b43efdc23d34935c3af865,6726,true,811PE208 - Ръкохватка BRIEL - 256030,1,http://nikelectric.com/produkt/rowenta-3/,67496,true,BRIEL,2,https://nikelectric.com/?post_type=product&#038;p=67496,sourceId differs; inspect before update
811PE335,69b444fcc23d34935c3ba618,38873,false,НАГРЕВАТЕЛ 900W,1,https://nikelectric.com/?post_type=product&#038;p=38873,67499,true,ELITE NEO ROHNSON CROWN,2,https://nikelectric.com/?post_type=product&#038;p=67499,sourceId differs; inspect before update
811PE331,69b44244c23d34935c3b59fb,15062,false,GAGGIA,1,https://nikelectric.com/?post_type=product&#038;p=15062,67502,true,ELITE NEO ROHNSON CROWN,2,https://nikelectric.com/?post_type=product&#038;p=67502,sourceId differs; inspect before update
138CY03,69ff0b3258138c72b910c259,,true,мотор за вентилатор пералня/сушилня - 43013591,0,,67583,true,CANDY,1,https://nikelectric.com/?post_type=product&#038;p=67583,probably update existing product by SKU
166CY08,69b44205c23d34935c3b5328,13664,true,Ролка за сушилня,2,http://nikelectric.com/produkt/candy-174/,67596,true,CANDY,1,https://nikelectric.com/?post_type=product&#038;p=67596,sourceId differs; inspect before update
112LG83,69ff0b3358138c72b910c271,,true,Кондензатор 18 mF  метален S2,0,,67652,true,18mF,2,https://nikelectric.com/?post_type=product&#038;p=67652,probably update existing product by SKU
150VE02,69b444bac23d34935c3b9f32,37068,false,VESTEL,1,https://nikelectric.com/?post_type=product&#038;p=37068,67709,true,VESTEL GORENJE HAIER,1,https://nikelectric.com/?post_type=product&#038;p=67709,sourceId differs; inspect before update
308GR07,6a3f0a0163ce2a8468e56f25,,true,308GR07 - Упл. фурна обр. куки - 567390,0,,67737,true,GORENJE,1,https://nikelectric.com/?post_type=product&#038;p=67737,probably update existing product by SKU
168ID17,69b43e65c23d34935c3ae638,5325,true,168ID17 - бронз. втулка сушилня - C00142628,1,http://nikelectric.com/produkt/indesit-ariston-237/,67928,true,INDESIT ARISTON,1,https://nikelectric.com/?post_type=product&#038;p=67928,sourceId differs; inspect before update
312AC11,69b440e5c23d34935c3b32f4,11528,true,312AC11 - ТЕН вент. ВЕКО - 1800W - Ф205 - 262900074I,1,http://nikelectric.com/produkt/beko-148/,67955,true,BEKO,2,https://nikelectric.com/?post_type=product&#038;p=67955,sourceId differs; inspect before update
215FR24,69b443f5c23d34935c3b8b04,30901,false,А03 0091,1,https://nikelectric.com/?post_type=product&#038;p=30901,67966,true,A13 0701,2,https://nikelectric.com/?post_type=product&#038;p=67966,sourceId differs; inspect before update
215FR100,69b445e3c23d34935c3bbf66,48482,false,UNIVERSAL,1,https://nikelectric.com/?post_type=product&#038;p=48482,67989,true,MIDEA,1,https://nikelectric.com/?post_type=product&#038;p=67989,sourceId differs; inspect before update
215FR112,69b44251c23d34935c3b5b97,15295,true,215FR112 - Термостат - WDF23T-920 - 409862,1,https://nikelectric.com/?post_type=product&#038;p=15295,67992,true,GORENJE,1,https://nikelectric.com/?post_type=product&#038;p=67992,sourceId differs; inspect before update
215FR116,69b4456ec23d34935c3bb257,43854,true,215FR116 - Термостат WDF34K - EX  - 49118246,1,https://nikelectric.com/?post_type=product&#038;p=43854,67994,true,CANDY HAIER,1,https://nikelectric.com/?post_type=product&#038;p=67994,sourceId differs; inspect before update
215FR06,6a33106763ce2a8468da916b,,true,"215FR06 - A03-0091 750 mm 2C -28/-13,5",0,,67997,true,A03-0091,1,https://nikelectric.com/?post_type=product&#038;p=67997,probably update existing product by SKU
215FR125,69b445f9c23d34935c3bc1d2,49247,false,DAEWOO,1,https://nikelectric.com/?post_type=product&#038;p=49247,67999,true,HISENSE GORENJE,2,https://nikelectric.com/?post_type=product&#038;p=67999,sourceId differs; inspect before update
311GR01,69ff0bf158138c72b910c31f,,true,311GR01 - Горелка Голяма Ф 95 - 222616,0,,68090,true,GORENJE HISENSE CROWN,2,https://nikelectric.com/?post_type=product&#038;p=68090,probably update existing product by SKU
120SU06OR,69fa0344b6016830e5a48cb5,,true,Гофриран маркуч долен,0,,68097,true,SAMSUNG,1,https://nikelectric.com/?post_type=product&#038;p=68097,probably update existing product by SKU
164BH06,69ff0b3458138c72b910c281,,true,панта - 00626459,0,,68100,true,BOSCH SIEMENS NEFF,2,https://nikelectric.com/?post_type=product&#038;p=68100,probably update existing product by SKU
312MA02,69b43fa8c23d34935c3b0cf3,8423,false,MIDEA,1,http://nikelectric.com/produkt/midea-11/,68123,true,MIDEA,1,https://nikelectric.com/?post_type=product&#038;p=68123,sourceId differs; inspect before update
323CU23,69b442a2c23d34935c3b64c6,18274,false,UNIVERSAL,1,https://nikelectric.com/?post_type=product&#038;p=18274,68292,true,ЗАЩИТА 335C,1,https://nikelectric.com/?post_type=product&#038;p=68292,sourceId differs; inspect before update
163AC18OR,69ff0b3358138c72b910c269,,true,Помпа за пералня,0,,68354,true,BEKO SANG BLOMBERG,1,https://nikelectric.com/?post_type=product&#038;p=68354,probably update existing product by SKU
159ID08,69b43e52c23d34935c3ae3f8,5167,true,INDESIT ARISTON,1,http://nikelectric.com/produkt/indesit-ariston-226/,68358,true,INDESIT ARISTON,1,https://nikelectric.com/?post_type=product&#038;p=68358,sourceId differs; inspect before update
325CU27,69ff0b3058138c72b910c231,,true,Реотан 800 W - пържолник,0,,68420,true,РЕОТАН ЗА ПЪРЖОЛНИК,1,https://nikelectric.com/?post_type=product&#038;p=68420,probably update existing product by SKU
201ZN02,69ff0b3458138c72b910c289,,true,Уплътнение фризер - 2248016590-2426448151 - 2144830268,0,,68486,true,ELECTROLUX ZANUSSI AEG,1,https://nikelectric.com/?post_type=product&#038;p=68486,probably update existing product by SKU
140ZN93,69ff0b3358138c72b910c279,,true,Конзола за горна пръскалка - 1561425370,0,,68497,true,ELECTROLUX ZANUSSI AEG,2,https://nikelectric.com/?post_type=product&#038;p=68497,probably update existing product by SKU
139CY14,69b441afc23d34935c3b4add,13170,true,Закопчалка 49016396,1,http://nikelectric.com/produkt/candy-165/,68540,true,CANDY,2,https://nikelectric.com/?post_type=product&#038;p=68540,sourceId differs; inspect before update
312CU109,69ff11dc58138c72b910c48b,,true,ТЕН 90см. Фурни долен - 1400W,0,,68553,true,UNIVERSAL,1,https://nikelectric.com/?post_type=product&#038;p=68553,probably update existing product by SKU
312CU110,69ff11dd58138c72b910c493,,true,ТЕН 90см. Фурни долен - 1700W,0,,68555,true,UNIVERSAL,1,https://nikelectric.com/?post_type=product&#038;p=68555,probably update existing product by SKU
312CU111,69ff11dd58138c72b910c49b,,true,ТЕН 90см. Фурни горен - 1000W+1800W,0,,68557,true,UNIVERSAL,1,https://nikelectric.com/?post_type=product&#038;p=68557,probably update existing product by SKU
312CU112,69ff11dd58138c72b910c4a3,,true,ТЕН 90см. Фурни горен - 1200W+2200W,0,,68559,true,UNIVERSAL,1,https://nikelectric.com/?post_type=product&#038;p=68559,probably update existing product by SKU
312CU113,69ff11de58138c72b910c4ab,,true,ТЕН 90см. Фурни долен - 1400W,0,,68561,true,UNIVERSAL,1,https://nikelectric.com/?post_type=product&#038;p=68561,probably update existing product by SKU
312CU114,69ff11de58138c72b910c4b3,,true,ТЕН 90см. Фурни горен - 1000W+1800W,0,,68563,true,UNIVERSAL,1,https://nikelectric.com/?post_type=product&#038;p=68563,probably update existing product by SKU
312CU117,69ff11de58138c72b910c4bb,,true,ТЕН Фурни долен - 1300W,0,,68565,true,UNIVERSAL,1,https://nikelectric.com/?post_type=product&#038;p=68565,probably update existing product by SKU
312CU118,69ff11de58138c72b910c4c3,,true,ТЕН Фурни горен - 900W+2000W,0,,68567,true,UNIVERSAL,1,https://nikelectric.com/?post_type=product&#038;p=68567,probably update existing product by SKU
302CU76,6a42398c7a812b8ec7f35a66,,true,Плоча за керамичен плот 180/120 мм 1700/700W,0,,68713,true,ПЛОЧА 180mm/120mm,1,https://nikelectric.com/?post_type=product&#038;p=68713,probably update existing product by SKU
139AK01,69b43cc6c23d34935c3ab450,1139,true,ARDO MERLONI,1,http://nikelectric.com/produkt/ardo-merloni-8/,68737,true,ARDO,2,https://nikelectric.com/?post_type=product&#038;p=68737,sourceId differs; inspect before update
813PE118,69b43e20c23d34935c3addd8,4387,false,ФИЛТЪР,0,http://nikelectric.com/produkt/%d1%84%d0%b8%d0%bb%d1%82%d1%8a%d1%80-6/,68799,true,ЦЕДКА 12 КАФЕТА,1,https://nikelectric.com/?post_type=product&#038;p=68799,sourceId differs; inspect before update
143AC04,69b442e8c23d34935c3b6c5a,21611,true,BEKO SANG BLOMBERG,2,https://nikelectric.com/?post_type=product&#038;p=21611,68804,true,BEKO SANG BLOMBERG,1,https://nikelectric.com/?post_type=product&#038;p=68804,sourceId differs; inspect before update
163AC03,69b440d7c23d34935c3b314d,11412,true,Помпа за пералня BEKO с три отвора,3,http://nikelectric.com/produkt/beko-arcelik-brandt-bosch/,69082,true,BEKO BLOMBERG,1,https://nikelectric.com/?post_type=product&#038;p=69082,sourceId differs; inspect before update
326CU09,69b44006c23d34935c3b1855,9413,true,Ремък за хлебопекарна 537 мм - SS-186171,1,http://nikelectric.com/produkt/%d1%80%d0%b5%d0%bc%d1%8a%d0%ba-%d0%b7%d0%b0-%d1%85%d0%bb%d0%b5%d0%b1%d0%be%d0%bf%d0%b5%d0%ba%d0%b0%d1%80%d0%bd%d0%b0-537mm/,69129,true,РЕМЪК ЗА ХЛЕБОПЕКАРНА – 537mm,1,https://nikelectric.com/?post_type=product&#038;p=69129,sourceId differs; inspect before update
